Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4351982172677524,11.441142838833539,635.4221857087687,,2,5,jalon_60_0
2,3.435216906467177,11.441152077083022,635.5585405724123,,20,3,60
3,3.435203824904158,11.441172531368176,635.4259710805491,,29,1,61
4,3.4352216280244257,11.441186771646889,635.4212029473856,,32,6,62
5,3.4352502457292964,11.441192157523641,635.4102130429819,,23,6,63
6,3.4352748574240923,11.441212407421652,635.6237610476092,,19,9,64
7,3.4353186683565897,11.441176884358915,635.5783226983622,,41,3,65
8,3.435371298316274,11.441153745592235,635.557150115259,,9,1,jalon_60_20
9,3.4353801591907316,11.441164904797054,636.1815779125318,,61,5,67
10,3.4353676935097646,11.441176392035569,636.5892575876787,,19,5,66
11,3.4353807722672105,11.441196723453057,635.6926766531542,,26,4,68
12,3.43534374182126,11.441213389982074,635.6082672374323,,42,9,69
13,3.435329906979124,11.441288290666316,635.8169812755659,,20,6,70
14,3.4353650747088595,11.441333066955162,635.6901746885851,,5,1,jalon_80_20
15,3.4352617701917447,11.441264841220983,635.8549350099638,,21,2,71
16,3.435198723610142,11.44124306546259,636.1641809949651,,20,2,72
17,3.4351881161145386,11.441331451799451,635.5595349567011,,54,9,jalon_80_0
