Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4351118808450076,11.44183678711787,752.2078104019165,,37,9,jalon_20_80
2,3.4351202000796874,11.441868770791533,752.3568948507309,,53,8,402
3,3.4351405365623404,11.441893778455645,752.6521790027618,,20,3,403
4,3.4351614123260283,11.441902893348606,752.8428213596344,,57,3,404
5,3.4351636908506666,11.441876786622114,752.7613380551338,,60,9,405
6,3.4352034356460055,11.441880653667171,752.7233598828316,,13,9,406
7,3.435244628161361,11.441867208347501,752.8394964933395,,24,0,407
8,3.435252807935705,11.441887829473778,752.9860198497772,,18,3,408
9,3.4352893447519817,11.441857833593547,752.6028565764427,,46,4,jalon_20_100
10,3.4352817735535193,11.441899965538479,752.8724626898766,,31,5,409
11,3.435239871286753,11.441915739078928,752.7871562838554,,10,7,410
12,3.4352706833217104,11.441945905563545,752.9682391881943,,30,8,411
13,3.435244079397243,11.441968442349834,752.8424937725067,,13,8,414
14,3.435230071092891,11.441978331818174,752.7579902410507,,15,9,415
15,3.435209074622133,11.44196870957118,752.7799144983292,,44,5,418
16,3.4352055778048585,11.441931746818533,752.9286676347256,,13,3,412
17,3.435194123918127,11.44193145153375,752.9288459420204,,16,5,413
18,3.4352130395469755,11.442002360072248,752.9319279789925,,13,8,417
19,3.4352224855346543,11.442002221853187,753.0234523713589,,22,3,416
20,3.4352581224428547,11.442040349359875,752.4588883519173,,46,1,jalon_40_100
21,3.4351570588627065,11.441950560847346,753.4426051825285,,45,2,419
22,3.435144202527188,11.441948532459872,754.2527562379837,,74,9,420
23,3.4351522758782322,11.441921511011374,753.4872646480799,,15,9,421
24,3.4350769765518394,11.442007504654704,752.7002613544464,,46,8,jalon_40_80
