Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4353546541333744,11.441543450184032,708.1165996193886,,73,1,jalon_80_40
2,3.435376172408303,11.441588392613893,708.2329944372177,,15,4,256
3,3.435387116997456,11.44162469190138,708.2170315980911,,48,4,257
4,3.435371142268827,11.441628622860797,708.387290418148,,20,7,258
5,3.4353629751688204,11.441636260820045,708.3831061720848,,19,4,259
6,3.4354119143433444,11.441659510846195,708.3105628490448,,68,5,260
7,3.4354573252525173,11.441634330345659,708.477587044239,,20,9,264
8,3.4354540971818013,11.441623782034,708.5975383520126,,25,0,263
9,3.435456417438559,11.441601535791825,708.3226357102394,,12,5,262
10,3.43542432346664,11.441571543394401,708.2350381612778,,26,7,261
11,3.4354803673340895,11.441574631456364,708.4690256714821,,22,4,266
12,3.4355398308214102,11.44157620248228,707.9989084005356,,45,4,jalon_80_60
13,3.4354811002183987,11.44161436549969,708.5347763299942,,47,3,265
14,3.435480939600213,11.44166593875429,709.8261668682098,,43,2,267
15,3.435506116482543,11.441737776580085,708.4895552992821,-,42,6,Jalon_100_60
