Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.435450260828466,11.441649504864015,644.0939165856689,,53,7,jalon_80_60
2,3.4354289108165816,11.441615319815167,644.4748967196792,,60,2,248
3,3.4354199024188676,11.441613600681093,644.7593853976578,,28,7,249
4,3.435417129524868,11.441629027517946,644.4949038531631,,36,3,250
5,3.435370716059072,11.441623195684185,644.4614871647209,,22,9,251
6,3.43534155487893,11.441593365220523,644.5444036033005,,14,2,252
7,3.435324602673284,11.441599668666901,644.7820711042732,,22,4,255
8,3.4352764117345567,11.441616669303572,644.234901836142,,45,2,jalon_80_40
9,3.435323694823684,11.44155524332296,644.5597344543785,,45,4,254
10,3.4353671488601916,11.441540760000125,644.591166248545,,17,3,253
11,3.4353472258020106,11.441450130369926,645.2802473362535,,39,7,243
12,3.4353034439738366,11.441432252049616,645.0143889542669,,35,6,jalon_60_40
