Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.435181513771661,11.441286695071545,665.459440946579,,29,7,jalon_40_40
2,3.435211212657727,11.441355016228915,665.5797917842865,,29,8,222
3,3.435171474802874,11.441389812581724,665.8569717407227,,36,5,223
4,3.4351813807724763,11.441414733302658,665.3567801713943,,47,1,223.1
5,3.435188819730238,11.441452906553453,666.2137009501457,,27,9,236
6,3.435163536305759,11.441468663756629,666.2822067439556,,47,8,jalon_60_40
7,3.435222427101552,11.441474133929065,665.8836364746094,,47,6,235
8,3.435233090490607,11.441447657458458,665.6888636350632,,16,6,234
9,3.4352480817753825,11.44145087398759,665.7659854888916,,25,5,233
10,3.4352712798637226,11.441471460176716,665.79641020298,,22,0,232
11,3.4353225832940644,11.441483194895294,665.6341086626053,,23,2,231
12,3.4353450466822224,11.441483834690066,665.3798013925552,,34,6,jalon_60_60
13,3.4353081159692636,11.441379035010826,665.7070767879486,,26,1,229
14,3.4352978743975466,11.441388561202649,665.5717880725861,,37,4,230
15,3.435258635893976,11.441361467111621,665.5838303565979,,27,4,225
16,3.435232826628938,11.441360021367192,665.438249707222,,41,8,224
17,3.435274153455959,11.441321117193624,665.7980026006699,,23,1
