Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4351332013285507,11.441791158841548,752.2137489318848,,48,6,jalon_20_100
2,3.435074506106429,11.44177507165021,752.2859899997711,,43,0,393
3,3.435045447679684,11.441758249823877,752.3353543281555,,31,1,396
4,3.435008248881889,11.44171490201339,752.5328392982483,,24,8,399
5,3.4349908390629307,11.441760334510784,753.0397583842278,,62,0,400
6,3.4349453462552053,11.441770472251529,752.2208267450333,,19,0,jalon_20_80
7,3.434962560350595,11.44175844373662,752.5902842879295,,31,6,401
8,3.434971987596127,11.441590996146127,752.3234113454819,,11,8,jalon_0_80
