Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4350880559887953,11.441853521429733,-1.1599531173706055,,44,1,jalon_20_20
2,3.4351008177494764,11.441799810177393,-0.5460617542266846,,21,2,163
3,3.4351011100849127,11.4417432736728,-0.8832734823226929,,31,6,164
4,3.4351259053475087,11.44174623806652,-0.6422241926193237,,23,8,165
5,3.435123437975952,11.441733534048351,-0.5484962463378906,,33,6,166
6,3.4351518631832305,11.441745703033751,-0.6397438049316406,,17,4,167
7,3.4351519068633385,11.441747512126659,-0.5538236498832703,,42,0,168
8,3.4351933350946076,11.441786116357802,-0.711138904094696,,48,3,169
9,3.4351878409473366,11.441809243046146,-0.804896891117096,,58,4,170
10,3.4352047081970167,11.44180723730112,-0.36846309900283813,,88,8,171
11,3.435235999167613,11.441798642991515,-0.6989322900772095,,17,7,173
12,3.435239213067931,11.441830349701835,-0.5171186923980713,,30,6
13,3.4352388516212664,11.441831429169767,-0.5386417508125305,,50,7
14,3.4352389441447055,11.441831399511608,-0.5464206337928772,,49,7,172
15,3.435279398235823,11.441852577911616,-1.2007015943527222,,45,3
16,3.4352796088175426,11.441852306756953,-1.2074987888336182,,46,8
17,3.43527957395273,11.441852328133429,-1.207261562347412,,46,9,jalon_20_40
18,3.4352759577872254,11.441743916083789,-0.4419771730899811,,21,7,174
19,3.4352888534498347,11.441715159912242,-0.43076783418655396,,12,4,175
20,3.435286650838512,11.441673844124175,-0.3078453838825226,,42,9,jalon_0_40
21,3.4352247771312325,11.441732058486027,-0.664350688457489,,28,3,177
22,3.435232623507879,11.441744896484684,-0.6638705730438232,,52,8
