Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.435703460765779,11.441232934577085,742.9534276723862,,45,4,jalon_40_60
2,3.4356317803982246,11.441198229810704,743.3688479065895,,51,2,216
3,3.435614982485126,11.44117880742463,743.3447857499123,,14,2,217
4,3.435599105100912,11.441191976589332,743.3546236753464,,55,0,218
5,3.4355784474246316,11.441202093361316,743.1858856081963,,33,4,221
6,3.4356055956982505,11.441137508472645,743.0944595336914,,59,7,209
7,3.435577070414484,11.44115685193505,743.2130425572395,,52,0,219
8,3.435532914392655,11.441170384974795,743.3253555893898,,41,6,220
9,3.435528609565783,11.441184813911564,742.9760812520981,,46,3,jalon_40_40
10,3.435571695031888,11.441007393425902,743.0214592218399,,44,9,jalon_20_40
