Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4350938628867675,11.44183346033428,-0.6361442804336548,,44,4,jalon_0_40
2,3.435106998283033,11.441897264418998,-0.6641252040863037,,29,6,183
3,3.4351397851034635,11.441888646697834,-0.99323570728302,,19,3,184
4,3.435150242977212,11.441861721325846,-0.7219948768615723,,14,0,191
5,3.435177154184958,11.441856534305302,-0.40603533387184143,,19,9,190
6,3.435182141785873,11.441910106889273,-0.5457368493080139,,25,1,185
7,3.4351826857042367,11.441914138000948,-0.6046172380447388,,16,0,186
8,3.4351873850920303,11.441916759970608,-0.6426047086715698,,46,5,187
9,3.4352077721336154,11.441920753885432,-0.3637218177318573,,91,5,188
10,3.4352495673958674,11.441874572803554,-0.45128360390663147,,23,3,189
11,3.435278491404439,11.441853047768095,-0.6059298515319824,,4,6,jalon_0_60
12,3.435240262874668,11.441935079068678,-0.3856635093688965,,23,0,192
13,3.435256456825565,11.441966439480932,-0.7238618731498718,,17,2,193
14,3.4352508043820986,11.442034987015711,-0.4458156228065491,,9,1,jalon_20_60
15,3.4352288079237643,11.442021941183452,-0.6793916821479797,,22,6,195
16,3.435227317786702,11.442006790621324,-0.7259180545806885,,13,4,194
17,3.4352027297853605,11.442005896401149,-0.6025094985961914,,32,5,196
18,3.4352045556007096,11.441991875697095,-0.4372859001159668,,87,8,197
19,3.4351988637293625,11.441980967401456,-0.5631490349769592,,18,3,198
20,3.435160756624852,11.441969122658442,-0.6028192639350891,,60,2,199
