Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4352588460861546,11.441294973869827,714.6405966281891,,51,9,jalon_60_40
2,3.4352539593687235,11.441309486626984,715.0613371133804,,27,0,237
3,3.4352595818728675,11.44132971418595,715.0591084957123,,20,8,238
4,3.435249645929905,11.441368036299998,714.8667701482773,,38,9,239
5,3.4352577544628082,11.441396765365512,714.6043194532394,,45,7,240
6,3.4353028733504,11.441371610361271,714.5285923480988,,28,1,241
7,3.4352965897012435,11.441338550401424,715.9900467097759,,110,7,242
8,3.4353383652584335,11.441328934977088,714.3138107061386,,34,1,244
9,3.4353668926060332,11.44133259722809,714.1483552455902,,22,3,245
10,3.4353966495156714,11.44134692006482,714.2374694347382,,34,6,246
11,3.4353899005597093,11.4413538787368,714.0318421125412,,28,0,246.1
12,3.4354272802764703,11.441328981219439,713.8505126237869,,38,6,jalon_60_60
13,3.4353907132115427,11.441379650427857,714.2154730558395,,44,4,247
14,3.4353543986003725,11.441406036345935,714.2061148881912,,52,8,247.1
15,3.435387091521422,11.441516043408056,713.7688480615616,,48,4,jalon_80_60
16,3.4353007022874467,11.441318845170624,714.7233102917671,-,38,2,243
