Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4353859366178336,11.44073294021728,591.6809424161911,,48,8,jalon_20_40
2,3.4354269174556293,11.440740764920664,592.3632429242134,,26,8,202
3,3.4354228910729407,11.440778125562387,592.3347027003765,,39,2,203
4,3.4354494925215175,11.440762441158563,592.3014760613441,,25,3,204
5,3.4354235764511007,11.44081681044634,592.2001211047173,,42,4,205
6,3.4354024877576443,11.440827827970534,592.3343598842621,,42,1,206
7,3.4354245347261316,11.440841649129867,592.3978423774242,,13,3,207
8,3.435451719984165,11.440842836688827,592.3786917328835,,19,8,208
9,3.4354463995057882,11.440858171330893,592.4724371433258,,21,8,209
10,3.4355451940100123,11.440768992868538,592.30311191082,,21,5,211
11,3.4355351350955914,11.440762515685318,592.2595477700233,,40,3,110
12,3.435575305461898,11.440754096774777,592.0369401574135,,45,1,jalon_20_60
13,3.4355376151551473,11.440841086912126,592.3687040507793,,41,5,212
14,3.4355231742823267,11.440886796289757,592.3010323643684,,17,8,215
15,3.4355621621112524,11.440893028713008,592.4617811143398,,52,3,213
16,3.4355564055529464,11.440916656641663,592.3565739989281,,66,0,214
16,3.4355520886184476,11.440930215142041,592.0611928701401,-,47,3,jalon_40_60
