Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.435862501803506,11.441560531172545,602.9406430721283,,45,1,jalon_80_80
2,3.4357835657717453,11.44154450300233,603.6228203475475,,13,8,286
3,3.435766358364968,11.441535329897071,603.6207166910172,,39,8,287
4,3.4357481754903505,11.44153879341587,603.3262721896172,,15,9,288
5,3.4357337236360483,11.44154149445021,603.4478563070297,,13,6,288.1
6,3.4356975526533513,11.441544313425718,603.6450265944004,,16,8,290
7,3.43569003888963,11.44154064319229,603.7129216045141,,34,5,291
8,3.435687378401211,11.44153207494908,603.6500945687294,,46,1,292
9,3.4356868853399085,11.441525259947426,603.620593726635,,19,6,293
10,3.4356853961525196,11.441497096364987,603.0697106719017,,49,1,jalon_80_60
11,3.435672827069056,11.441564520016422,603.8777581229806,,38,3,289
12,3.4356205514987948,11.44167121161668,603.7599637657404,,29,2,jalon_100_60
