Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4352511411823556,11.441657297764934,638.4277646364644,,17,9,jalon_100_20
2,3.435259310949032,11.441637142153443,638.5866756858304,,58,8,83
3,3.435291689658909,11.441603277274707,637.9865297498181,,31,0,86
4,3.435297926939623,11.441609380665518,638.2369546117261,,48,7,85
5,3.435311326016391,11.441670831014443,638.3647173466161,,29,9,84
6,3.4353984469606598,11.441640990159806,639.219386969693,,172,5,87
7,3.4353897924729044,11.44163016928628,638.9174031736329,,16,7,89
8,3.4354175299317404,11.441614224424479,638.0730753364041,,52,2,88
9,3.435428856254773,11.441695672804855,637.7412587823346,,44,3,jalon_100_40
10,3.43540392698882,11.441581000924993,638.130590361543,,40,3,90
11,3.435393672099333,11.441560580191426,638.1348975123838,,21,5,92
12,3.4353632118079283,11.441579819398363,638.2265599193051,,12,4,91
13,3.435349295239703,11.441524058173245,638.2220572652295,,23,9,96
14,3.4353060617644777,11.44152083390976,638.2870928468183,,23,4,100
15,3.4353270478430513,11.441499865163497,638.381719452329,,55,5,98
16,3.4353046350980803,11.44149970756806,638.3260063352063,,16,2,99
17,3.4352717406436493,11.441477077326967,638.1565752448514,,24,0,jalon_80_20
