Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4352311032599694,11.44165399339119,752.2413899898529,,48,6,jalon_0_80
2,3.4352335572023174,11.441736401927841,752.7357411980629,,15,2,376
3,3.435249061064455,11.441739308075567,752.8156805038452,,56,6,377
4,3.4352682225995963,11.441751637122929,752.5500266551971,,42,4,383
5,3.435285134907569,11.44174871566204,752.7975783348083,,48,5,382
6,3.435290462704848,11.441726781244896,752.6008504033089,,22,4,381
7,3.435309090142996,11.441745721008926,752.6047580838203,,46,1,384
8,3.435296960028888,11.44171181469944,752.5563724040985,,15,9,380
9,3.4352451184650015,11.441697716635433,752.9885938167572,,41,4,378
10,3.435269408421005,11.44168929853332,752.4842450618744,,11,8,379
11,3.4353155683016254,11.441674633599293,752.4820986390114,,15,0,385
12,3.4353275457866568,11.441683695620197,752.6024657487869,,24,3,386
13,3.435390718753546,11.441668984023325,752.9304916858673,,16,4,387
14,3.435412414562877,11.441661973176341,752.5749209523201,,49,9,jalon_0_100
15,3.4353828638945747,11.4416958710033,752.8742050528526,,27,8,388
16,3.435354471080313,11.44177614564639,753.0265381932259,,34,6,390
17,3.4353633279675955,11.441843248416408,753.4919838011265,,76,6,392
18,3.4354060458408755,11.441842798126077,752.6698486804962,,45,4,jalon_20_100
19,3.4353930990955863,11.441821529190438,753.2027774304152,,31,5,391
20,3.4353347636005247,11.441824327228577,753.5039239227772,,32,3,394
21,3.4353316112456835,11.441827427788448,752.9628778398037,,14,6,395
22,3.4353209299027623,11.441815079665496,753.0550810992718,,24,3,396
23,3.4353224948629766,11.44179980414005,752.9682820439339,,37,4,397
24,3.4352801902269716,11.44181744336673,752.7123846411705,,36,3,398
