Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4349486646043026,11.440877098862847,640.1067763566971,,51,8,0_0
2,3.4349529027596066,11.44094154987566,640.2778443694115,,52,7,1
3,3.434995812859602,11.440928373778675,640.3155034184456,,50,3,2
4,3.4350330776673967,11.440919801606077,640.3317987918854,,64,6,3
5,3.4350386933748465,11.440937065804565,640.5102264285088,,28,9,4
6,3.435072230380686,11.440892358297717,640.6659765839577,,14,1,5
7,3.435140204909643,11.44088800077019,640.0398364067078,,46,5,jalon_0_20
8,3.43513045761171,11.44090270060454,640.3631055951118,,38,2,6
9,3.435115574472735,11.440932453237588,640.3036024570465,,29,3,7
10,3.435104072585703,11.440943520182461,640.2934800386429,,40,5,8
11,3.4350864284949187,11.440948755423694,640.4252428412437,,18,7,9
12,3.4350548208190177,11.44097054656506,640.4592403173447,,29,4,10
13,3.435073770417851,11.44101785247018,640.4558972120285,,58,3,11
14,3.4351227385197047,11.441013384568276,640.3545110225677,,24,9,12.1
15,3.4351028786569913,11.441036817102855,640.2388972043991,,49,0,12
16,3.4351231894670313,11.441069359863771,640.0229011774063,,49,3,jalon20_20
17,3.4350552073299476,11.441037033494297,640.4081130623817,,41,2,13
18,3.434959036502748,11.441035816515518,640.1056176424026,,48,5,14.1
