Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4352655747640033,11.441123148556805,667.0825582742691,,47,3,jalon_20_0
2,3.4353334479384023,11.441136765756152,667.1861571073532,,43,9,15
3,3.4353331337540576,11.441171829233374,667.4196557700634,,31,5,16
4,3.435298477022564,11.441181155978777,667.2440378665924,,59,1,17
5,3.435294649554805,11.44119507883382,667.1549026966095,,47,0,18
6,3.4353146780146373,11.441213062668254,667.2490813732147,,37,7,19
7,3.4353685924439263,11.44121857869145,667.1859611868858,,45,6,20
8,3.4353907173418743,11.441176965867706,667.2830115556717,,56,9,21
9,3.435382362218112,11.441163076536641,667.5402548313141,,26,2,21.1
10,3.4354278289094253,11.441139998892977,667.5062714219093,,71,4,22
11,3.4354578904140998,11.441133798754297,667.0273300409317,,46,1
12,3.4354576809165955,11.441133764566816,667.0257229804993,,46,2,jalon_20_20
13,3.435419258059898,11.441176849549962,667.26808822155,,18,1,23
14,3.435431296021288,11.441181734995268,667.3027225732803,,22,3,24
15,3.4354251604321466,11.441188864299148,667.2606717348099,,41,0,25
16,3.4354190565008573,11.441232678610072,667.4252009093761,,83,6,26
17,3.435395735604939,11.441230866245085,667.5691927075386,,78,9,27
18,3.435393267999473,11.441213190021127,667.435482531786,,16,8,28
19,3.4354068872197967,11.441255885952208,667.5816071629524,,42,0,29
20,3.435397122970445,11.441276146443542,667.506615281105,,38,5,30
21,3.435416696493648,11.441309646748984,667.8535471223295,,15,5,32
22,3.4354459948650553,11.44131922637035,667.5740157365799,,18,5,jalon_40_20
23,3.4353738126997966,11.44125939430555,667.5964988470078,,37,9,31
