Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4350976930467327,11.441842346365817,-0.4882645308971405,,3,7,jalon_80_20
2,3.435112797482709,11.441830389759087,-0.4854075312614441,,16,9,101
3,3.435112232987438,11.441830057861651,-0.4976642429828644,,19,4,102
4,3.4351327795367013,11.441733442543,-0.7414376735687256,,20,6,105
5,3.4351414505212348,11.44170789786521,-0.652104914188385,,26,0,107
6,3.4351420684833958,11.44170009184742,-0.5767513513565063,,31,5,108
7,3.435121611865676,11.441691711079105,-0.5644736289978027,,43,9,123
8,3.4351404113394715,11.441665110950135,-0.6819266080856323,,15,7,122
9,3.4351012395084157,11.441658532720043,-0.6139976382255554,,19,2,jalon_60_20
10,3.435183282314119,11.441698584385607,-0.5830725431442261,,20,3,121
11,3.4351646182044764,11.441739697293722,-0.7785333395004272,,50,0,106
12,3.4351792539316004,11.441791462317154,-0.5327039957046509,,20,9,109
13,3.435153099638359,11.441833532251076,-0.037939004600048065,,16,2,103
14,3.435195703365536,11.441837943933914,-0.45678797364234924,,39,8,104
15,3.4352687297974778,11.441854467200361,-0.37887808680534363,,24,5,113.1
16,3.435282592694231,11.441857245024629,-0.863710343837738,,45,2,jalon_80_40
17,3.4352656409315045,11.441795207644411,0.6381668448448181,,149,6,113
