Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4350628806522043,11.441375833274417,691.6839651465416,,172,0,jalon_40_0
2,3.4350843832750173,11.441299764881435,691.5456854104996,,52,0,36
3,3.43510376595964,11.441338144060346,691.7171697020531,,42,0,33
4,3.435090156526602,11.441340990771922,691.6743221282959,,25,4,34
5,3.4351126616988235,11.441357355525875,691.5072560310364,,53,0,35
6,3.4352394512483033,11.441391829385582,691.5428232550621,,40,3,jalon_40_20
7,3.4352527189465185,11.441206229258562,691.5321981310844,,49,4,jalon_20_20
