Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4350826188974053,11.44184727206969,-0.8528701663017273,,31,0,jalon_60_20
2,3.4350946603147916,11.441826705453757,-0.6982086300849915,,9,0,124
3,3.435103070768822,11.441824233169328,-0.70062255859375,,26,5,125
4,3.435098540091724,11.441780410250086,-0.4258895814418793,,29,5,126
5,3.4351608315790463,11.441771576370531,-0.0648161992430687,,33,7,127
6,3.4351903261020165,11.441776637763281,-0.40072518587112427,,38,3,128
7,3.435192830131295,11.441809192652627,-0.6044062972068787,,29,5,129
8,3.435168941179886,11.441815925360308,-0.6670895218849182,,8,8,130
9,3.4351804863589965,11.4418535509477,-0.5650169253349304,,31,3,131
10,3.435194498778775,11.44184666594017,-0.6664552688598633,,12,6,132
11,3.4352270598751224,11.44185219190962,-0.4298878610134125,,10,9,133
12,3.4352452286251345,11.441865256178614,0.031498610973358154,,16,0,134
13,3.435273599688025,11.441865723950121,-0.3199702203273773,,55,9,jalon_60_40
14,3.435232398984487,11.441802768708214,-0.9094411134719849,,15,8,135
15,3.4352365953653243,11.441786809249914,-0.7743858695030212,,28,0,136
16,3.4352421947335547,11.441771038750248,-0.9392040967941284,,47,3,137
17,3.4352698934548966,11.44173277819499,-1.1968612670898438,,41,5,138
18,3.435254270145333,11.441727466956205,-0.6077630519866943,,45,8,139
19,3.435253628813974,11.441727902692678,-0.997857391834259,,56,3,140
20,3.4352892037799494,11.441682967652294,-1.2928040027618408,,43,8,jalon_40_40
21,3.4351952129764687,11.441679473457892,-0.7903165221214294,,26,8,141
22,3.4351746893701676,11.441702245466558,-0.3166186511516571,,28,0,142
23,3.4351751647454107,11.441674525589345,-0.5784236788749695,,15,6,143
