Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4354090612029475,11.44160307805406,678.9023578083143,,10,5,jalon_80_20
2,3.4354846258666134,11.441610454029743,679.0242522871122,,7,5,97
3,3.4355222647077364,11.441619632952952,679.1150507247075,,14,5,95
4,3.435557768886209,11.441644049044973,678.9387117540464,,13,2,93
5,3.435571723008271,11.44163605124283,678.8604971086606,,52,1,94
6,3.4355919226764677,11.441613251096447,678.6046919142827,,43,1,jalon_80_40
7,3.435578129852324,11.441803586682713,678.7797607695684,,51,3,jalon_100_40
