Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4349332444365097,11.441643120157092,602.2525469651446,,36,1,jalon_60_0
2,3.4349676294150937,11.441634831084988,602.4141342034563,,35,3,59
3,3.4349823038720206,11.441639151683429,602.3109437813982,,18,1,58
4,3.4351145570131765,11.44166309645527,602.4255617847666,,43,5,jalon_60_20
5,3.4351314880377384,11.441481605318256,602.217950402759,,5,4,jalon_40_20
6,3.434947947456428,11.441463586318509,601.8491072645411,,48,5,jalon_40_0
