Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4352035220622947,11.44168960547348,664.6753155514598,,48,8,jalon_80_0
2,3.435205358438307,11.44168936790058,664.6641620919108,,26,1,73
3,3.4352915898453813,11.441674511140196,665.6323377899826,,230,8,74
4,3.4353219792515666,11.441614041204314,664.5004047676921,,44,9,jalon_80_20
5,3.435332339166821,11.441685355088483,664.7547508403659,,20,7,75
6,3.4352939521272265,11.441744360387599,665.4298674091697,,34,2,76
7,3.435332722844794,11.441760196926026,665.617755189538,,32,0,77
8,3.4353454289343244,11.441775669582512,665.7109765578061,,33,6,78
9,3.435405423376803,11.441780309390793,665.4426083788276,,16,5,jalon_100_20
10,3.4353030285285406,11.441817431790769,666.0007608160377,,9,0,79
11,3.435296930572506,11.44181766962004,665.6896180482581,,44,9,80
12,3.435255379756847,11.441830397158265,665.4306871816516,,15,3,81
13,3.435246285258257,11.441861298569396,664.8647022172809,,35,4,jalon_100_0
14,3.4352167719695035,11.441795710837988,665.279766343534,,36,8,82
