Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.000010981960107,-1.0000010549674432,-2.031829595565796,,46,8,jalon_80_40
2,-1.000000032635107,-1.000072026231493,-1.0320311337709427,,21,5,115
3,-1.00002286803864,-1.0000928905174307,-1.224997729063034,,19,9,114
4,-1.0000287708703097,-1.000086536985545,-1.1182421743869781,,14,6,112
5,-1.0000384719901712,-1.000080319494742,-1.367250233888626,,16,9,111
6,-1.0000494978465813,-1.0000787970426788,-1.7102445363998413,,57,8,110
7,-0.9999791855650231,-1.000133478233322,-0.4997780919075012,,50,9,116
8,-1.0000091876357167,-1.0001471362528012,-0.48847055435180664,,13,8,117
9,-1.0000227110020514,-1.0001551411048946,-0.5001452267169952,,16,1,118
10,-1.0000078312667227,-1.0001610311745741,-0.6288345158100128,,25,0,119
11,-1.000012731740021,-1.0001720161644823,-0.6291941106319427,,17,3,120
12,-0.9999593753850464,-1.0001815108299354,-1.0697309225797653,,53,2,jalon_60_40
13,-1.0001042691069755,-1.0002141489879943,-1.4389261305332184,,16,1,122
14,-1.0001395699241862,-1.0002256175696191,-1.6096596717834473,,33,8,jalon_60_20
