Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4353107439523796,11.441523687909466,752.4653836488724,,49,0,jalon_20_80
2,3.435296654389909,11.441528626821798,752.6502051353455,,23,4,350
3,3.435305655193724,11.441567307916916,752.5864807963371,,37,7,349
4,3.4352562110976725,11.441597142819653,752.9513100385666,,30,6,348
5,3.43521791504548,11.44155031329392,752.9817744493484,,43,7,351
6,3.4352034974594785,11.441571723761088,752.7817478179932,,19,2,352
7,3.4351858545069596,11.441521406132013,752.6535577774048,,60,9,353
8,3.4351448777446367,11.441513383575229,752.8475172519684,,39,5,354
9,3.435131103066388,11.441491015619574,752.4112292528152,,41,1,jalon_20_60
10,3.435097158002963,11.441672321951021,752.3910472393036,,44,2,jalon_40_60
